County,Total, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44
New Jersey,"9,463,600","542,600","548,900","587,200","599,300","646,700","592,500","588,000","534,900","562,600"
Atlantic,"282,800","16,500","16,100","17,500","18,400","19,900","18,200","18,500","16,300","15,400"
Bergen,"996,100","54,300","56,800","62,600","58,400","64,600","63,900","66,200","51,900","54,500"
Burlington,"471,500","25,400","26,500","26,900","28,100","31,600","29,600","28,900","26,600","27,800"
Camden,"525,000","30,800","31,600","32,400","32,700","31,500","29,300","32,600","32,100","33,700"
Cape May,"94,100","4,800","4,900","5,200","5,600","6,000","5,400","5,600","5,300","5,000"
Cumberland,"162,700","10,200","9,600","9,200","10,200","10,200","10,600","11,100","12,200","11,300"
Essex,"811,000","51,300","51,800","53,800","52,800","54,800","49,800","47,700","50,000","50,700"
Gloucester,"309,600","16,900","16,400","17,200","18,700","23,600","22,800","21,200","18,100","16,600"
Hudson,"758,700","50,900","53,800","57,600","44,700","46,400","39,600","38,900","46,000","66,900"
Hunterdon,"132,000","6,100","5,700","6,200","6,100","8,800","9,500","10,300","6,400","6,600"
Mercer,"389,400","21,300","22,000","26,000","28,200","30,300","22,500","23,500","22,200","22,800"
Middlesex,"903,000","51,800","52,400","58,500","60,900","67,700","54,400","53,500","51,700","55,200"
Monmouth,"653,400","35,400","35,100","35,900","38,000","42,400","41,500","45,000","37,400","35,900"
Morris,"542,000","28,600","28,600","31,100","32,300","38,700","37,500","36,900","26,000","29,500"
Ocean,"622,200","32,500","32,200","33,100","46,900","45,300","40,200","35,700","32,900","33,100"
Passaic,"531,500","34,800","33,200","35,100","36,200","37,900","33,100","30,500","32,100","31,200"
Salem,"64,500","3,400","3,400","3,600","4,100","3,900","3,700","3,700","3,600","3,600"
Somerset,"359,800","18,400","18,300","21,500","22,700","25,600","26,100","24,600","16,100","16,800"
Sussex,"152,800","7,800","7,400","7,300","8,300","9,500","10,600","11,300","8,800","7,100"
Union,"590,300","35,800","37,500","40,500","39,400","40,200","36,600","35,000","32,800","33,700"
Warren,"111,200","5,600","5,700","5,900","6,700","7,700","7,600","7,500","6,300","5,500"
